safe,release_speed,plate_x,plate_z,pop_time,exchange_time,arm_strength,lead,sprint_speed,swing,delta_run_exp
1,86.5,-1.34,3.49,2.05528125,0.779322581,80.111258065,10.405666667,28.3,0,0.031
1,80.4,-1.07,3.21,2.05528125,0.779322581,80.111258065,10.405666667,28.3,1,-0.212
1,82,0.15,2.88,2.093578947,0.746105263,74.930736842,10.405666667,27.1,0,-0.051
0,83.9,-1.81,2.58,2.05528125,0.779322581,80.111258065,10.405666667,29.5,0,0.062
0,86,-2.29,3.6,2.093578947,0.746105263,74.930736842,10.405666667,28.4,0,-0.153
0,86.3,-1.12,1.51,2.093578947,0.746105263,74.930736842,10.405666667,28.3,1,-0.068
0,87.9,-0.95,4.45,2.05528125,0.779322581,80.111258065,10.405666667,27.3,0,-0.18
1,87.1,1.85,3.03,2.05528125,0.779322581,80.111258065,10.405666667,28.5,0,0.075
1,81.3,0.03,2.19,2.05528125,0.779322581,80.111258065,10.405666667,28.9,1,-0.054
1,80.3,1.33,-0.28,2.126821429,0.732444444,74.115678571,10.422,27.4,0,0.054
1,95.2,0.14,2.14,2.033826087,0.757636364,79.222347826,11.605,25.8,0,-0.062
1,89.5,1.97,0.26,2.228,0.8745,75.3979,11.605,29.5,0,0.031
1,78.5,0.98,2.73,2.037793103,0.737448276,77.177035714,10.965,27.6,0,0.031
1,91,-0.23,2.52,2.03365625,0.763903226,78.28690625,12.333,26.3,0,-0.054
1,90.9,0.8,3.18,2.03365625,0.763903226,78.28690625,12.333,27.7,0,-0.367
0,86.8,0.97,2.42,2.03365625,0.763903226,78.28690625,12.333,30.2,0,0.084
0,87.6,-1.2,3.26,2.03365625,0.763903226,78.28690625,12.333,28,0,0.054
1,87,0.75,2.85,2.03365625,0.763903226,78.28690625,12.333,28,0,0.048
1,77.6,-1.31,1.68,2.228,0.8745,75.3979,11.3285,28.8,0,0.031
0,79.2,0.94,2.11,2.228,0.8745,75.3979,11.3285,26.9,0,-0.136
1,79.6,-0.62,2.48,2.228,0.8745,75.3979,11.3285,28,0,-0.065
1,82.8,-0.46,2.67,1.958823529,0.7546875,83.1018,12.152153846,26.2,1,-0.488
1,90.3,-1.08,2.26,2.085647059,0.7980625,78.269352941,12.152153846,27.8,0,0.054
1,91,-0.51,3,2.085647059,0.7980625,78.269352941,12.152153846,29.6,0,-0.062
1,93.4,0.86,2.84,1.958823529,0.7546875,83.1018,12.152153846,28.9,0,0.029
1,83,1.15,1.31,1.958823529,0.7546875,83.1018,12.152153846,28.9,1,-0.182
1,91.1,0.16,2.32,2.085647059,0.7980625,78.269352941,12.152153846,27.3,0,-0.052
1,93.6,-1.01,1.78,1.9502,0.64948,78.181,12.152153846,30.2,0,0.058
1,91.5,0.68,2.13,1.958823529,0.7546875,83.1018,12.152153846,29.7,0,0.048
0,91.8,1.28,3.07,1.9502,0.64948,78.181,12.152153846,25.5,0,-0.17
1,93.6,0.67,2.94,1.9502,0.64948,78.181,12.152153846,28,0,-0.062
0,79.7,0.49,1.29,1.958823529,0.7546875,83.1018,12.152153846,27.1,0,-0.22
0,83,0.91,0.89,1.958823529,0.7546875,83.1018,12.152153846,29.1,0,0.039
1,86.6,-2.38,2.2,2.085647059,0.7980625,78.269352941,12.152153846,27.6,0,0.017
1,88.1,2.02,3.63,1.9925,0.7261,79.24125,11.752222222,27.3,0,0.024
1,87.2,-2.05,2.01,1.9925,0.7261,79.24125,11.752222222,27.1,0,0.017
1,75.5,0.09,1.16,1.9925,0.7261,79.24125,11.752222222,29.6,0,0.017
1,77.1,-1.24,0.45,1.9925,0.7261,79.24125,11.752222222,26.2,0,0.024
1,91.1,-2.06,2.28,2.050769231,0.758153846,76.175769231,11.752222222,26.8,0,0.048
1,87.1,-1.39,1.59,2.050769231,0.758153846,76.175769231,11.752222222,25.7,0,0.036
1,85.8,-0.7,1.88,1.9925,0.7261,79.24125,11.752222222,30,0,-0.051
1,82,-2.27,-0.96,2.050769231,0.758153846,76.175769231,11.752222222,27.5,0,0.039
0,95.4,-1.66,2.85,1.909,0.707966667,84.429241379,12.316333333,26.6,0,-0.136
1,83,1.04,1.58,1.909,0.707966667,84.429241379,12.316333333,29.5,0,0.048
1,81.9,-0.25,2.13,2.03274359,0.694487179,75.660358974,12.316333333,27.3,0,-0.066
1,95.1,1.02,0.63,2.03274359,0.694487179,75.660358974,12.316333333,27.2,0,0.039
1,83.5,-0.91,3.93,2.03274359,0.694487179,75.660358974,12.316333333,26.5,0,0.076
1,87.9,0.26,3.79,2.067357143,0.727666667,74.948785714,11.0698,28,0,0.029
0,82.2,2.09,0.39,2.075615385,0.824384615,78.825461538,11.0698,26.1,0,0.162
1,88.3,-1.31,2.96,2.067357143,0.727666667,74.948785714,11.0698,28.4,0,0.098
0,90.1,-0.72,3.92,1.996833333,0.715083333,81.283166667,11.619,27.3,0,-0.18
1,89.9,-0.43,2.13,2.039645161,0.767225806,79.856129032,11.619,30,0,-0.078
0,89.8,0.83,1.18,2.039645161,0.767225806,79.856129032,11.619,27.9,0,0.117
1,88.4,-0.52,2.94,2.039645161,0.767225806,79.856129032,11.619,28.9,0,-0.054
1,89.9,-0.73,3.74,2.091884615,0.720666667,73.916192308,11.201666667,28.6,0,0.117
0,96.4,0.58,4.39,2.091884615,0.720666667,73.916192308,11.201666667,25.9,0,-0.136
1,81.9,0.23,2.38,2.091884615,0.720666667,73.916192308,11.201666667,27.8,0,-0.068
1,96.1,0.1,3.45,2.091884615,0.720666667,73.916192308,11.201666667,28.4,1,-0.074
0,93.9,2.15,2.68,1.960848485,0.698939394,80.9561875,12.874571429,23.2,0,-0.153
1,74.2,-0.9,0.5,1.960848485,0.698939394,80.9561875,12.874571429,28.5,0,0.017
0,76.5,-0.06,2.91,1.960848485,0.698939394,80.9561875,12.874571429,28.3,0,-0.488
1,89.5,-0.89,5.1,1.960848485,0.698939394,80.9561875,12.874571429,30.2,0,0.054
0,76.1,1.5,1.41,1.960848485,0.698939394,80.9561875,12.874571429,28.3,0,-0.136
1,73.2,-1.97,2.17,1.960848485,0.698939394,80.9561875,12.874571429,28.4,0,0.029
0,86.6,1.62,2.36,1.960848485,0.698939394,80.9561875,12.874571429,28.4,0,0.098
1,88.9,-1.96,2.5,1.915478261,0.648045455,79.380347826,10.762666667,26.3,0,0.017
0,85.4,0.81,0.8,1.915478261,0.648045455,79.380347826,10.762666667,27.8,0,0.029
1,89.5,0.18,-0.64,1.909,0.707966667,84.429241379,12.045,27.8,0,0.017
1,90.1,0.14,1.91,2.03274359,0.694487179,75.660358974,12.045,26.9,0,-0.052
0,90.3,-1.98,1.75,2.123846154,0.847192308,78.67532,11.228,28,0,-0.153
1,87.4,0.75,1.49,2.123846154,0.847192308,78.67532,11.228,29.6,1,-0.073
1,94,0.56,4.58,2.0228,0.7066,76.873818182,11.1435,27.7,0,0.048
0,89.6,0.94,2.3,2.0228,0.7066,76.873818182,11.1435,27.7,0,-0.251
0,88.4,-0.69,2.86,2.0228,0.7066,76.873818182,11.1435,28.9,0,-0.232
1,87.8,1.5,0.59,2.037071429,0.807821429,82.251678571,12.271833333,28,0,0.024
