batter_name,description,bb_type,events,Bases,outs_when_up,on_1b,on_2b,on_3b,delta_run_exp,hard_hit,chase,whiff,height,width,plate_x,plate_z,release_speed,release_spin_rate,launch_speed,p_throws,pitch_name,called_strike,line_drive,fly_ball,ground_ball,game_year
Cody Bellinger,hit_into_play,line_drive,line_drive,No Runners,2,NA,NA,NA,-0.124,1,0,0,High,Middle,0.07,3.09,89.4,2159,96,R,Sinker,0,1,0,0,2017
Cody Bellinger,ball,ball,NA,No Runners,2,NA,NA,NA,0.035,NA,NA,NA,Low,Right Out Of Zone,1.51,1.69,90.6,2153,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,No Runners,2,NA,NA,NA,0.016,NA,NA,NA,Low Out Of Zone,Right Out Of Zone,1.13,1.61,89.1,2073,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,foul,foul,NA,No Runners,2,NA,NA,NA,-0.029,0,0,0,Middle,Left,-0.33,2.5,91.1,2358,74.5,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,called_strike,called_strike,NA,No Runners,2,NA,NA,NA,-0.022,NA,NA,NA,Low Out Of Zone,Left,-0.53,1.63,89.2,2250,NA,R,Sinker,1,0,0,0,2017
Cody Bellinger,ball,ball,NA,No Runners,2,NA,NA,NA,0.018,NA,NA,NA,Middle,Left Out Of Zone,-1.21,2.85,82.3,1719,NA,R,Changeup,0,0,0,0,2017
Cody Bellinger,hit_into_play,fly_ball,fly_ball,No Runners,0,NA,NA,NA,-0.286,0,0,0,Middle,Left,-0.34,2.4,88.2,2168,90.2,R,Sinker,0,0,1,0,2017
Cody Bellinger,ball,ball,NA,No Runners,0,NA,NA,NA,0.05,NA,NA,NA,High,Left Out Of Zone,-1.42,3.09,89.6,2338,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,foul,foul,NA,No Runners,0,NA,NA,NA,-0.046,0,0,0,Low,Middle,0.06,2.04,87.6,2159,66.4,R,Sinker,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,No Runners,0,NA,NA,NA,0.036,NA,NA,NA,Middle,Left Out Of Zone,-1.3,2.32,87.1,2141,NA,R,Sinker,0,0,0,0,2017
Cody Bellinger,hit_into_play,line_drive,double,No Runners,1,NA,NA,NA,0.416,1,0,0,Low,Middle,0.02,2.11,70.6,2372,96,R,Curveball,0,1,0,0,2017
Cody Bellinger,called_strike,called_strike,strikeout,1st,2,457759,NA,NA,-0.143,NA,NA,NA,Low,Left Out Of Zone,-0.95,1.85,71.1,2266,NA,R,Slider,1,0,0,0,2017
Cody Bellinger,foul,foul,NA,1st,2,457759,NA,NA,-0.053,0,1,0,High,Left Out Of Zone,-0.9,3.21,80.8,1813,87.8,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,called_strike,called_strike,NA,1st,2,457759,NA,NA,-0.032,NA,NA,NA,Middle,Left Out Of Zone,-0.9,2.35,79.9,1759,NA,R,4-Seam Fastball,1,0,0,0,2017
Cody Bellinger,ball,ball,walk,1st & 3rd,2,571771,NA,518735,0.095,NA,NA,NA,High Out Of Zone,Left Out Of Zone,-1.17,4.8,89.2,2091,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,foul,foul,NA,1st & 3rd,2,571771,NA,518735,-0.043,NA,0,0,Middle,Middle,-0.14,2.33,81.5,2174,NA,R,Cutter,0,0,0,0,2017
Cody Bellinger,blocked_ball,blocked_ball,NA,1st & 3rd,2,571771,NA,518735,0.144,NA,NA,NA,Low Out Of Zone,Left,-0.28,0.86,78.5,2392,NA,R,Curveball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,1st & 3rd,2,571771,NA,518735,0.028,NA,NA,NA,Low Out Of Zone,Right,0.32,1.64,79,2366,NA,R,Curveball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,1st & 3rd,2,571771,NA,518735,0.08,NA,NA,NA,High Out Of Zone,Right Out Of Zone,1.38,3.7,90.3,2190,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,ball,ball,walk,3rd,2,NA,NA,571771,0.18,NA,NA,NA,High Out Of Zone,Right Out Of Zone,1.22,3.67,92.8,2266,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,foul,foul,NA,3rd,2,NA,NA,571771,-0.087,NA,0,0,Low,Middle,-0.18,2.17,77,2335,NA,R,Curveball,0,0,0,0,2017
Cody Bellinger,called_strike,called_strike,NA,3rd,2,NA,NA,571771,-0.046,NA,NA,NA,Middle,Middle,0.06,2.74,76.6,2315,NA,R,Curveball,1,0,0,0,2017
Cody Bellinger,ball,ball,NA,3rd,2,NA,NA,571771,0.061,NA,NA,NA,High Out Of Zone,Left Out Of Zone,-0.71,5.84,89.4,2212,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,2nd,2,NA,571771,NA,0.014,NA,NA,NA,High,Right Out Of Zone,1.17,3.49,88.1,2101,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,2nd,2,NA,571771,NA,0.031,NA,NA,NA,High Out Of Zone,Right,0.56,3.95,90,2021,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,hit_into_play,ground_ball,force_out,1st,0,571771,NA,NA,-0.731,0,1,0,Low,Left Out Of Zone,-1.1,1.87,82.1,1694,47.7,R,Changeup,0,0,0,1,2017
Cody Bellinger,ball,ball,NA,1st,0,571771,NA,NA,0.122,NA,NA,NA,Low Out Of Zone,Left,-0.43,1.09,77.2,2314,NA,R,Curveball,0,0,0,0,2017
Cody Bellinger,ball,ball,NA,1st,0,571771,NA,NA,0.065,NA,NA,NA,Middle,Right Out Of Zone,1.66,2.92,90,2174,NA,R,4-Seam Fastball,0,0,0,0,2017
Cody Bellinger,hit_into_play,fly_ball,fly_ball,1st & 2nd,1,457759,621035,NA,-0.551,1,0,0,Low,Left,-0.37,2.21,84.8,2145,98,R,Cutter,0,0,1,0,2017
Cody Bellinger,blocked_ball,blocked_ball,NA,1st & 2nd,1,457759,621035,NA,0.093,NA,NA,NA,Low Out Of Zone,Right Out Of Zone,1,0.52,85.4,NA,NA,R,Cutter,0,0,0,0,2017
Cody Bellinger,called_strike,called_strike,NA,1st & 2nd,1,457759,621035,NA,-0.096,NA,NA,NA,Low,Right Out Of Zone,0.79,1.87,92.1,2239,NA,R,4-Seam Fastball,1,0,0,0,2017
Cody Bellinger,blocked_ball,blocked_ball,NA,1st & 2nd,1,457759,621035,NA,0.068,NA,NA,NA,Low Out Of Zone,Right Out Of Zone,1.57,0.49,85.3,2285,NA,R,Cutter,0,0,0,0,2017
Cody Bellinger,hit_into_play,line_drive,single,1st,1,621035,NA,NA,0.506,0,0,0,Low,Left,-0.4,1.84,84,NA,82.2,R,Cutter,0,1,0,0,2017
Cody Bellinger,ball,ball,NA,1st,1,621035,NA,NA,0.023,NA,NA,NA,High Out Of Zone,Right Out Of Zone,0.8,4.21,91.7,2104,NA,R,Sinker,0,0,0,0,2017
Cody Bellinger,foul,foul,NA,1st,1,621035,NA,NA,-0.046,0,0,0,High,Left,-0.47,3.43,90.9,2205,77.1,R,4-Seam Fastball,0,0,0,0,2017
