safe,dist_from_base,sprint_speed,arm_of
0,274.0334582674167,25.3,88.9
1,286.02590136209693,27.3,86.1
1,253.61496530173451,28.8,77
1,265.0197374725136,27.3,85.9
1,292.90588185456437,25.7,86
0,266.9150906655523,26.4,86.1
1,286.14544487899855,22.1,82.6
1,265.21934318597505,28.2,85.5
1,189.75102107762166,27.4,87.1
1,239.10371180724073,28.5,86.6
1,251.72310680587114,27,89.4
1,243.62144943538942,27.2,79.4
1,234.21858514003537,27.6,81.3
0,154.97130782825576,26,90.3
1,252.5208964125544,26.3,85.8
0,254.56463324664722,29.3,81.5
1,276.20529728808606,29.3,84.3
1,274.91504369532055,26.6,88.7
1,188.26127124291918,27.8,88.2
1,342.3695600151977,26.8,87.6
1,320.8843970186148,23.7,81.5
1,343.91022811193045,30.2,88.7
1,340.8734699268924,27.6,90.5
1,359.88736606054954,26.6,89.8
1,310.82809256082373,28.5,83.2
1,355.6764514625617,28.3,87.6
1,301.15938678712973,26.9,90.3
1,328.4982381992329,29.1,82.4
1,298.6323209650958,24.9,88.7
1,390.752085726999,25.9,90.9
1,277.9905753798139,27.6,82.9
1,356.74444722377956,26.9,86.3
1,350.9836329873517,27.5,79.9
1,319.0865282333305,29.1,88.5
1,344.35600492077964,28.6,93.8
1,328.07270630913507,26.7,89.5
1,332.91998381743326,28.1,89.2
1,298.521316240566,27.1,86.6
1,295.14959130922074,29.3,86.2
1,283.3213414128911,24.9,83.8
1,325.1513897402255,27.5,88.2
1,333.2532642375765,26.9,88.6
1,321.6844358218159,28.4,85.1
1,341.0755139994661,27,87.1
1,297.1247297011813,26.8,89.4
1,334.35012524298537,26.2,85.3
1,307.65435658381307,26.5,82.6
1,335.3648535550498,27,89.1
1,358.3165438896172,28.3,85.1
1,337.75852413373667,26.6,86.3
1,314.3667702700144,29.1,85.9
1,329.7989690705537,28.7,90.5
1,361.77108179759205,25.5,87.1
1,304.4504321314063,26.5,81.4
1,324.6318838315177,27.5,84.8
1,343.68792257657236,27,89.4
1,341.9556860910489,26.3,77
1,348.35712727745357,24.8,86.6
1,328.63784398635534,25.6,91.9
1,298.55087506152114,26.8,82.9
1,286.51796300581225,26,86.5
1,310.55442558430883,28.1,89.2
1,297.1554233477828,25,86.5
1,298.1186424898651,26.3,86.5
1,306.488149240717,25.2,90.5
1,365.6620451318403,27.9,77
1,341.5743056056764,28.4,88.8
1,298.1189129357613,28.1,92.4
1,353.36308876281913,26,83.2
1,342.3882089456353,27,89.4
1,319.7554456143007,26.8,82.4
1,330.2148741728634,26.3,87.6
1,359.9111730691339,28.5,87.6
1,312.08554215951756,27,90.5
1,325.59779828801055,26.5,88.2
1,322.5335738337949,28.2,78.7
1,315.3242636556851,26.8,91.9
1,312.0435887019633,25.7,88.2
1,323.03386529124157,28.1,87.1
1,364.3778070217778,26.3,90.5
1,315.1165677174084,26.5,86.5
1,357.531706635929,27.3,91.1
1,281.91379112239264,27.9,89.2
1,374.02203895626263,26.6,86.1
1,347.84232868499487,28.1,89.7
1,274.62696744857385,28.9,87.5
1,362.3577005184242,28.8,90.3
1,368.2552986719947,26.6,92.4
1,285.3142762814367,27.2,84
1,266.60776081164636,27.7,88.9
1,344.00557135749995,27.1,86
1,353.12429203468855,28.1,84.8
1,328.2744983241921,28.3,89.1
1,345.46175620464845,28.4,94.9
1,332.6855544279012,27.8,86.2
1,299.14831187890735,27.5,80.6
1,323.24412020947887,26.7,80.7
1,358.72818749019433,26.6,86.3
1,357.51509233877107,25.2,86.3
1,358.543272318698,28.1,94.9
1,318.1442960749101,27.7,82.6
1,312.46487202564066,28.7,91.9
1,290.20269855740486,27.3,88.7
1,330.31419606943933,26.3,89.3
1,323.1096959625322,28.7,85.3
1,332.06674216187326,27.1,88.6
1,335.83252615701184,27.6,88.8
1,331.4168004567662,25.7,88.6
1,322.1834822736883,25.7,92.5
1,345.9856942490542,25.7,77
1,351.605099863469,26.3,89.4
1,330.1316858467239,26.4,89.4
1,357.05509466327464,28.6,83.4
1,307.25237692327136,27.7,85.2
1,332.11621554058456,29.9,89.3
1,336.235610286894,26.3,83.3
1,345.11252150566776,25.7,92.4
1,354.0333679542085,27.5,77
1,371.71541701952583,26.8,93
1,318.62097878984684,25.3,85.2
1,332.5062480615966,27.6,88.8
1,345.1034129431351,29.4,85.8
