outs_when_up,on_1b,on_2b,on_3b,balls,strikes,run_exp
0,0,0,0,0,0,0.51
0,1,0,0,0,0,0.91
0,0,1,0,0,0,1.16
0,1,1,0,0,0,1.46
0,0,0,1,0,0,1.42
0,1,0,1,0,0,1.82
0,0,1,1,0,0,2.01
0,1,1,1,0,0,2.25
1,0,0,0,0,0,0.27
1,1,0,0,0,0,0.55
1,0,1,0,0,0,0.72
1,1,1,0,0,0,0.95
1,0,0,1,0,0,0.99
1,1,0,1,0,0,1.21
1,0,1,1,0,0,1.38
1,1,1,1,0,0,1.59
2,0,0,0,0,0,0.10
2,1,0,0,0,0,0.24
2,0,1,0,0,0,0.33
2,1,1,0,0,0,0.47
2,0,0,1,0,0,0.38
2,1,0,1,0,0,0.57
2,0,1,1,0,0,0.57
2,1,1,1,0,0,0.80
0,0,0,0,0,1,0.47
0,1,0,0,0,1,0.83
0,0,1,0,0,1,1.08
0,1,1,0,0,1,1.38
0,0,0,1,0,1,1.37
0,1,0,1,0,1,1.78
0,0,1,1,0,1,1.77
0,1,1,1,0,1,2.13
1,0,0,0,0,1,0.25
1,1,0,0,0,1,0.50
1,0,1,0,0,1,0.67
1,1,1,0,0,1,0.88
1,0,0,1,0,1,0.96
1,1,0,1,0,1,1.07
1,0,1,1,0,1,1.36
1,1,1,1,0,1,1.45
2,0,0,0,0,1,0.09
2,1,0,0,0,1,0.20
2,0,1,0,0,1,0.29
2,1,1,0,0,1,0.37
2,0,0,1,0,1,0.35
2,1,0,1,0,1,0.47
2,0,1,1,0,1,0.51
2,1,1,1,0,1,0.63
0,0,0,0,0,2,0.43
0,1,0,0,0,2,0.71
0,0,1,0,0,2,0.99
0,1,1,0,0,2,1.09
0,0,0,1,0,2,1.31
0,1,0,1,0,2,1.58
0,0,1,1,0,2,1.76
0,1,1,1,0,2,1.80
1,0,0,0,0,2,0.21
1,1,0,0,0,2,0.43
1,0,1,0,0,2,0.57
1,1,1,0,0,2,0.82
1,0,0,1,0,2,0.92
1,1,0,1,0,2,0.96
1,0,1,1,0,2,1.34
1,1,1,1,0,2,1.09
2,0,0,0,0,2,0.06
2,1,0,0,0,2,0.17
2,0,1,0,0,2,0.23
2,1,1,0,0,2,0.28
2,0,0,1,0,2,0.27
2,1,0,1,0,2,0.42
2,0,1,1,0,2,0.37
2,1,1,1,0,2,0.46
0,0,0,0,1,0,0.55
0,1,0,0,1,0,0.98
0,0,1,0,1,0,1.20
0,1,1,0,1,0,1.49
0,0,0,1,1,0,1.45
0,1,0,1,1,0,1.92
0,0,1,1,1,0,2.10
0,1,1,1,1,0,2.34
1,0,0,0,1,0,0.28
1,1,0,0,1,0,0.60
1,0,1,0,1,0,0.75
1,1,1,0,1,0,1.04
1,0,0,1,1,0,0.96
1,1,0,1,1,0,1.32
1,0,1,1,1,0,1.45
